form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komthayong001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,Kanshouwa2026Thayong,nopage,komthayong
komthayong008,se,1.sg.fut.aff,ka-se-sik-eng,ka-Σ-sik-eng,ka+Σ+sik+eng,k a Σ s i k e ŋ,k a + Σ + s i k + e ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong009,se,1.pl.excl.fut.aff,ka-se-sik-ung,ka-Σ-sik-ung,ka+Σ+sik+ung,k a Σ s i k u ŋ,k a + Σ + s i k + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong010,se,1.pl.incl.fut.aff,ka-se-sik-me,ka-Σ-sik-me,ka+Σ+sik+me,k a Σ s i k m e,k a + Σ + s i k + m e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong011,hmu,1.sg.2.sg.fut.aff,ka-hmu-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong012,hmu,1.sg.2.pl.fut.aff,ka-hmu-sik-chui,ka-Σ-sik-chui,ka+Σ+sik+chui,k a Σ s i k tʃ ui,k a + Σ + s i k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong013,hmu,1.pl.excl.2.sg.fut.aff,kan-hmu-sik-che,kan-Σ-sik-che,ka+n+Σ+sik+che,k a n Σ s i k tʃ e,k a + n + Σ + s i k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong014,hmu,1.pl.excl.2.pl.fut.aff,kan-hmu-sik-chui,kan-Σ-sik-chui,ka+n+Σ+sik+chui,k a n Σ s i k tʃ ui,k a + n + Σ + s i k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong015,hmu,1.sg.3.sg.fut.aff,ka-hmu-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong016,hmu,1.sg.3.pl.fut.aff,ka-hmu-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong017,hmu,1.pl.excl.3.sg.fut.aff,kan-hmu-sik,kan-Σ-sik,ka+n+Σ+sik,k a n Σ s i k,k a + n + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong018,hmu,1.pl.incl.3.sg.fut.aff,ni-hmu-sik,ni-Σ-sik,ni+Σ+sik,n i Σ s i k,n i + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong019,hmu,1.pl.excl.3.pl.fut.aff,kan-hmu-sik-hei,kan-Σ-sik-hei,ka+n+Σ+sik+hei,k a n Σ s i k h ei,k a + n + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong020,hmu,1.pl.incl.3.pl.fut.aff,ni-hmu-sik-hei,ni-Σ-sik-hei,ni+Σ+sik+hei,n i Σ s i k h ei,n i + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong021,se,2.sg.fut.aff,ka-se-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong022,se,2.pl.fut.aff,ka-se-sik-chui,ka-Σ-sik-chui,ka+Σ+sik+chui,k a Σ s i k tʃ ui,k a + Σ + s i k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
