morph_id,morph,position,in_cells,in_forms,language_id
komthayongM01,a,free,3.sg; 3.pl,komthayong006; komthayong007,komthayong
komthayongM02,a,pre,3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komthayong033; komthayong034; komthayong037; komthayong038; komthayong039; komthayong040; komthayong041; komthayong042; komthayong043; komthayong044; komthayong045; komthayong046; komthayong047; komthayong048; komthayong064; komthayong065; komthayong066; komthayong067; komthayong076; komthayong078; komthayong080; komthayong081; komthayong084; komthayong119; komthayong120; komthayong122; komthayong123; komthayong124; komthayong125; komthayong126; komthayong127; komthayong128; komthayong129; komthayong130; komthayong131; komthayong132; komthayong133; komthayong134; komthayong135; komthayong151; komthayong152; komthayong153; komthayong161; komthayong164; komthayong165; komthayong168,komthayong
komthayongM03,a n,pre,3.pl.1.pl.excl fut.aff,komthayong178,komthayong
komthayongM04,e ŋ,post,1.sg.fut.aff; 2.pl.1.sg.fut.aff; 1.sg.nfut.aff; 2.pl.1.sg.nfut.aff; 1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komthayong008; komthayong025; komthayong094; komthayong111; komthayong136; komthayong139; komthayong140; komthayong143; komthayong144,komthayong
komthayongM05,ei,free,1.pl.incl,komthayong003,komthayong
komthayongM06,ei,pre,3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.excl.fut.aff; 2.pl.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.1.pl.excl.nfut.aff; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komthayong035; komthayong036; komthayong068; komthayong077; komthayong079; komthayong082; komthayong083; komthayong121; komthayong154; komthayong162; komthayong163; komthayong166; komthayong167,komthayong
komthayongM07,h ei,post,1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,komthayong016; komthayong019; komthayong020; komthayong028; komthayong030; komthayong032; komthayong046; komthayong048; komthayong054; komthayong060; komthayong061; komthayong070; komthayong073; komthayong075; komthayong081; komthayong082; komthayong083; komthayong084; komthayong088; komthayong089; komthayong091; komthayong092; komthayong093; komthayong102; komthayong105; komthayong106; komthayong114; komthayong116; komthayong118; komthayong133; komthayong135; komthayong144; komthayong147; komthayong148; komthayong156; komthayong158; komthayong160; komthayong165; komthayong166; komthayong167; komthayong168; komthayong169; komthayong172; komthayong173; komthayong175; komthayong176; komthayong177,komthayong
komthayongM08,h ei,pre,3.pl.1.pl.excl.nfut.aff,komthayong126,komthayong
komthayongM09,i ŋ,post,2.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 1.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.3.sg.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 2.sg.1.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff,komthayong023; komthayong033; komthayong038; komthayong049; komthayong052; komthayong053; komthayong054; komthayong057; komthayong067; komthayong072; komthayong074; komthayong075; komthayong076; komthayong077; komthayong078; komthayong079; komthayong080; komthayong081; komthayong082; komthayong083; komthayong084; komthayong087; komthayong090; komthayong091; komthayong092; komthayong093; komthayong109; komthayong119; komthayong123,komthayong
komthayongM10,k a,pre,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.pl.incl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 2.sg.nfut.aff; 2.pl.nfut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff,komthayong008; komthayong009; komthayong010; komthayong011; komthayong012; komthayong013; komthayong014; komthayong015; komthayong016; komthayong017; komthayong019; komthayong021; komthayong022; komthayong031; komthayong032; komthayong094; komthayong095; komthayong096; komthayong097; komthayong098; komthayong099; komthayong100; komthayong101; komthayong102; komthayong103; komthayong105; komthayong107; komthayong108; komthayong117; komthayong118,komthayong
